question_id,subject,topic,question_text,question_type,cognitive_level,avg_score,std_dev,discrimination_index,difficulty_label
Q20,Chemistry,Inorganic,Solve a problem related to Inorganic in Chemistry.,MCQ,Remember,7.16,1.94,0.6,Easy
Q21,Mathematics,Probability,Explain the concept of Probability in Mathematics.,MCQ,Analyze,4.32,1.35,0.75,Medium
Q22,Physics,Mechanics,Explain the concept of Mechanics in Physics.,Numerical,Remember,2.98,2.05,-0.13,Hard
Q23,Chemistry,Physical,Apply the theory of Physical in practical scenarios.,MCQ,Analyze,3.79,0.9,0.6,Hard
Q24,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,Short Answer,Understand,7.67,1.65,0.32,Easy
Q25,Chemistry,Physical,Apply the theory of Physical in practical scenarios.,MCQ,Remember,6.72,1.18,0.64,Medium
Q26,Physics,Mechanics,Explain the concept of Mechanics in Physics.,MCQ,Remember,8.99,1.67,0.34,Easy
Q27,Computer Science,DBMS,Solve a problem related to DBMS in Computer Science.,Short Answer,Evaluate,0.76,1.91,-0.17,Hard
Q28,Chemistry,Inorganic,Analyze the principles of Inorganic in Chemistry.,Numerical,Remember,3.16,2.02,0.36,Hard
Q29,Chemistry,Inorganic,Explain the concept of Inorganic in Chemistry.,Numerical,Remember,5.56,1.68,0.25,Medium
Q30,Mathematics,Probability,Explain the concept of Probability in Mathematics.,MCQ,Apply,4.42,1.87,-0.12,Medium
Q31,Computer Science,Operating Systems,Apply the theory of Operating Systems in practical scenarios.,MCQ,Remember,4.38,1.25,0.82,Medium
Q32,Biology,Ecology,Explain the concept of Ecology in Biology.,MCQ,Apply,7.0,2.08,0.76,Easy
Q33,Physics,Thermodynamics,Explain the concept of Thermodynamics in Physics.,MCQ,Remember,4.94,1.76,0.78,Medium
Q34,Physics,Thermodynamics,Evaluate the impact of Thermodynamics in Physics.,MCQ,Apply,8.74,1.59,0.79,Easy
Q35,Mathematics,Algebra,Apply the theory of Algebra in practical scenarios.,Numerical,Analyze,4.6,1.34,0.05,Medium
Q36,Computer Science,Operating Systems,Apply the theory of Operating Systems in practical scenarios.,MCQ,Evaluate,8.55,1.35,0.75,Easy
Q37,Mathematics,Linear Algebra,Evaluate the impact of Linear Algebra in Mathematics.,Long Answer,Understand,6.01,1.38,0.26,Medium
Q38,Biology,Cell Biology,Analyze the principles of Cell Biology in Biology.,Numerical,Apply,5.21,1.36,0.17,Medium
Q39,Physics,Electromagnetism,Solve a problem related to Electromagnetism in Physics.,Long Answer,Evaluate,5.68,1.7,0.37,Medium
Q40,Computer Science,Algorithms,Apply the theory of Algorithms in practical scenarios.,Numerical,Remember,4.11,2.2,0.87,Medium
Q41,Computer Science,Data Structures,Explain the concept of Data Structures in Computer Science.,Numerical,Apply,2.16,1.49,0.11,Hard
Q42,Mathematics,Probability,Explain the concept of Probability in Mathematics.,MCQ,Evaluate,6.2,1.28,0.35,Medium
Q43,Biology,Ecology,Explain the concept of Ecology in Biology.,Long Answer,Remember,5.62,1.65,-0.04,Medium
Q44,Biology,Ecology,Solve a problem related to Ecology in Biology.,Long Answer,Evaluate,6.68,1.5,0.07,Medium
Q45,Biology,Ecology,Analyze the principles of Ecology in Biology.,Numerical,Understand,8.29,1.88,0.06,Easy
Q46,Biology,Ecology,Explain the concept of Ecology in Biology.,Long Answer,Apply,4.4,2.19,0.5,Medium
Q47,Computer Science,Algorithms,Analyze the principles of Algorithms in Computer Science.,MCQ,Evaluate,7.17,2.6,-0.1,Easy
Q48,Physics,Mechanics,Apply the theory of Mechanics in practical scenarios.,MCQ,Analyze,5.01,1.96,0.01,Medium
Q49,Physics,Optics,Analyze the principles of Optics in Physics.,Long Answer,Evaluate,6.2,1.25,0.55,Medium
Q50,Mathematics,Probability,Explain the concept of Probability in Mathematics.,Short Answer,Apply,6.02,1.32,0.05,Medium
Q51,Computer Science,DBMS,Solve a problem related to DBMS in Computer Science.,MCQ,Evaluate,3.88,1.74,0.56,Hard
Q52,Computer Science,DBMS,Apply the theory of DBMS in practical scenarios.,Long Answer,Evaluate,7.24,1.42,-0.05,Easy
Q53,Biology,Ecology,Analyze the principles of Ecology in Biology.,Short Answer,Remember,4.43,1.34,0.82,Medium
Q54,Chemistry,Organic,Apply the theory of Organic in practical scenarios.,Long Answer,Understand,5.29,1.78,0.53,Medium
Q55,Computer Science,Operating Systems,Evaluate the impact of Operating Systems in Computer Science.,Long Answer,Analyze,6.45,2.15,0.38,Medium
Q56,Mathematics,Linear Algebra,Analyze the principles of Linear Algebra in Mathematics.,Short Answer,Evaluate,5.35,1.4,0.79,Medium
Q57,Mathematics,Linear Algebra,Explain the concept of Linear Algebra in Mathematics.,Long Answer,Remember,6.52,1.89,0.17,Medium
Q58,Physics,Electromagnetism,Apply the theory of Electromagnetism in practical scenarios.,Numerical,Understand,8.6,1.07,0.79,Easy
Q59,Mathematics,Calculus,Analyze the principles of Calculus in Mathematics.,Numerical,Analyze,6.5,1.67,0.51,Medium
Q60,Chemistry,Inorganic,Evaluate the impact of Inorganic in Chemistry.,Short Answer,Analyze,6.45,1.92,-0.19,Medium
Q61,Physics,Electromagnetism,Analyze the principles of Electromagnetism in Physics.,Short Answer,Understand,6.59,1.14,-0.19,Medium
Q62,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,MCQ,Apply,6.35,0.89,0.56,Medium
Q63,Mathematics,Algebra,Evaluate the impact of Algebra in Mathematics.,Short Answer,Understand,3.62,1.83,0.58,Hard
Q64,Biology,Cell Biology,Evaluate the impact of Cell Biology in Biology.,Long Answer,Remember,4.5,0.93,0.62,Medium
Q65,Chemistry,Organic,Analyze the principles of Organic in Chemistry.,Numerical,Remember,7.93,1.71,0.52,Easy
Q66,Mathematics,Calculus,Apply the theory of Calculus in practical scenarios.,Long Answer,Apply,4.26,1.57,0.2,Medium
Q67,Chemistry,Inorganic,Analyze the principles of Inorganic in Chemistry.,Numerical,Apply,4.22,1.09,0.87,Medium
Q68,Biology,Evolution,Analyze the principles of Evolution in Biology.,Short Answer,Remember,7.76,1.38,0.49,Easy
Q69,Physics,Thermodynamics,Apply the theory of Thermodynamics in practical scenarios.,Long Answer,Remember,6.03,2.23,0.43,Medium
Q70,Biology,Ecology,Explain the concept of Ecology in Biology.,MCQ,Analyze,3.19,1.48,0.59,Hard
Q71,Mathematics,Probability,Explain the concept of Probability in Mathematics.,Numerical,Remember,3.86,1.74,0.83,Hard
Q72,Physics,Thermodynamics,Solve a problem related to Thermodynamics in Physics.,Numerical,Remember,5.75,1.87,0.86,Medium
Q73,Computer Science,Data Structures,Analyze the principles of Data Structures in Computer Science.,Short Answer,Analyze,4.31,0.74,0.74,Medium
Q74,Physics,Mechanics,Apply the theory of Mechanics in practical scenarios.,MCQ,Apply,4.15,1.24,0.41,Medium
Q75,Mathematics,Linear Algebra,Evaluate the impact of Linear Algebra in Mathematics.,Short Answer,Remember,6.35,1.69,0.43,Medium
Q76,Mathematics,Linear Algebra,Explain the concept of Linear Algebra in Mathematics.,Numerical,Evaluate,6.46,1.1,0.89,Medium
Q77,Mathematics,Algebra,Analyze the principles of Algebra in Mathematics.,Long Answer,Remember,6.12,0.93,0.77,Medium
Q78,Biology,Cell Biology,Explain the concept of Cell Biology in Biology.,MCQ,Remember,7.74,2.03,0.57,Easy
Q79,Mathematics,Calculus,Solve a problem related to Calculus in Mathematics.,MCQ,Analyze,3.24,1.03,0.69,Hard
Q80,Chemistry,Organic,Apply the theory of Organic in practical scenarios.,MCQ,Analyze,6.61,1.63,0.8,Medium
Q81,Chemistry,Physical,Explain the concept of Physical in Chemistry.,Short Answer,Apply,7.03,3.0,0.68,Easy
Q82,Chemistry,Biochemistry,Apply the theory of Biochemistry in practical scenarios.,Long Answer,Evaluate,8.66,1.99,0.68,Easy
Q83,Mathematics,Linear Algebra,Analyze the principles of Linear Algebra in Mathematics.,Long Answer,Apply,5.37,1.88,0.21,Medium
Q84,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,Numerical,Remember,6.33,1.07,-0.16,Medium
Q85,Biology,Cell Biology,Evaluate the impact of Cell Biology in Biology.,Long Answer,Understand,10.0,0.57,0.12,Easy
Q86,Mathematics,Probability,Explain the concept of Probability in Mathematics.,MCQ,Analyze,5.17,1.54,-0.16,Medium
Q87,Mathematics,Algebra,Solve a problem related to Algebra in Mathematics.,Long Answer,Analyze,5.06,2.04,-0.06,Medium
Q88,Physics,Thermodynamics,Explain the concept of Thermodynamics in Physics.,MCQ,Remember,9.12,1.56,0.04,Easy
Q89,Chemistry,Physical,Solve a problem related to Physical in Chemistry.,MCQ,Apply,4.54,1.61,-0.14,Medium
Q90,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,Long Answer,Analyze,10.0,2.42,0.5,Easy
Q91,Mathematics,Linear Algebra,Apply the theory of Linear Algebra in practical scenarios.,MCQ,Analyze,1.95,1.59,0.67,Hard
Q92,Chemistry,Organic,Analyze the principles of Organic in Chemistry.,Short Answer,Remember,5.11,0.67,-0.11,Medium
Q93,Chemistry,Physical,Evaluate the impact of Physical in Chemistry.,Short Answer,Evaluate,7.01,1.93,0.25,Easy
Q94,Chemistry,Biochemistry,Evaluate the impact of Biochemistry in Chemistry.,Long Answer,Understand,5.33,1.34,0.08,Medium
Q95,Chemistry,Organic,Analyze the principles of Organic in Chemistry.,MCQ,Remember,9.53,1.7,0.53,Easy
Q96,Computer Science,Operating Systems,Explain the concept of Operating Systems in Computer Science.,Numerical,Analyze,6.75,2.33,0.47,Medium
Q97,Mathematics,Algebra,Apply the theory of Algebra in practical scenarios.,Long Answer,Evaluate,2.96,1.26,0.19,Hard
Q98,Chemistry,Organic,Analyze the principles of Organic in Chemistry.,Numerical,Evaluate,5.53,2.44,-0.09,Medium
Q99,Computer Science,Data Structures,Apply the theory of Data Structures in practical scenarios.,Numerical,Apply,0.0,0.99,-0.01,Hard
Q100,Chemistry,Physical,Solve a problem related to Physical in Chemistry.,Short Answer,Analyze,2.01,0.85,0.48,Hard
Q101,Physics,Optics,Apply the theory of Optics in practical scenarios.,MCQ,Analyze,5.12,1.57,0.21,Medium
Q102,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,Long Answer,Remember,6.12,2.67,0.74,Medium
Q103,Physics,Mechanics,Explain the concept of Mechanics in Physics.,MCQ,Evaluate,4.04,1.73,-0.12,Medium
Q104,Chemistry,Physical,Analyze the principles of Physical in Chemistry.,Long Answer,Evaluate,5.6,1.53,0.44,Medium
Q105,Biology,Cell Biology,Analyze the principles of Cell Biology in Biology.,Long Answer,Analyze,6.23,1.83,0.23,Medium
Q106,Chemistry,Physical,Analyze the principles of Physical in Chemistry.,MCQ,Remember,4.77,2.56,0.4,Medium
Q107,Biology,Ecology,Analyze the principles of Ecology in Biology.,MCQ,Evaluate,5.7,1.79,0.86,Medium
Q108,Computer Science,DBMS,Apply the theory of DBMS in practical scenarios.,Long Answer,Remember,5.03,1.6,0.15,Medium
Q109,Chemistry,Biochemistry,Solve a problem related to Biochemistry in Chemistry.,Numerical,Analyze,4.82,1.92,-0.07,Medium
Q110,Computer Science,Operating Systems,Explain the concept of Operating Systems in Computer Science.,Short Answer,Apply,7.9,2.23,0.77,Easy
Q111,Physics,Thermodynamics,Explain the concept of Thermodynamics in Physics.,Short Answer,Analyze,7.63,1.81,0.11,Easy
Q112,Computer Science,Operating Systems,Explain the concept of Operating Systems in Computer Science.,MCQ,Remember,7.1,1.14,0.69,Easy
Q113,Chemistry,Physical,Evaluate the impact of Physical in Chemistry.,Numerical,Understand,5.96,1.56,0.21,Medium
Q114,Computer Science,Algorithms,Solve a problem related to Algorithms in Computer Science.,Long Answer,Analyze,4.66,2.08,0.82,Medium
Q115,Chemistry,Organic,Solve a problem related to Organic in Chemistry.,Numerical,Understand,5.56,2.05,0.63,Medium
Q116,Physics,Thermodynamics,Analyze the principles of Thermodynamics in Physics.,MCQ,Evaluate,5.18,1.63,0.79,Medium
Q117,Mathematics,Probability,Solve a problem related to Probability in Mathematics.,Long Answer,Remember,8.61,1.51,0.15,Easy
Q118,Biology,Evolution,Apply the theory of Evolution in practical scenarios.,Numerical,Apply,5.52,1.93,-0.19,Medium
Q119,Biology,Genetics,Explain the concept of Genetics in Biology.,Numerical,Apply,6.65,1.43,0.85,Medium
Q120,Physics,Optics,Analyze the principles of Optics in Physics.,Short Answer,Apply,9.82,2.03,0.29,Easy
Q121,Chemistry,Inorganic,Analyze the principles of Inorganic in Chemistry.,Short Answer,Apply,3.99,0.89,0.54,Hard
Q122,Chemistry,Physical,Evaluate the impact of Physical in Chemistry.,Short Answer,Remember,7.54,1.83,0.67,Easy
Q123,Chemistry,Inorganic,Apply the theory of Inorganic in practical scenarios.,MCQ,Analyze,5.98,1.05,-0.14,Medium
Q124,Mathematics,Linear Algebra,Explain the concept of Linear Algebra in Mathematics.,Short Answer,Analyze,1.82,2.39,0.78,Hard
Q125,Chemistry,Organic,Explain the concept of Organic in Chemistry.,Long Answer,Apply,4.35,1.34,-0.04,Medium
Q126,Mathematics,Calculus,Apply the theory of Calculus in practical scenarios.,Numerical,Remember,7.23,2.18,-0.09,Easy
Q127,Mathematics,Linear Algebra,Solve a problem related to Linear Algebra in Mathematics.,Long Answer,Remember,6.49,1.25,-0.12,Medium
Q128,Biology,Ecology,Evaluate the impact of Ecology in Biology.,MCQ,Apply,7.12,1.94,-0.11,Easy
Q129,Computer Science,Operating Systems,Apply the theory of Operating Systems in practical scenarios.,Short Answer,Understand,3.1,0.8,0.69,Hard
Q130,Mathematics,Calculus,Apply the theory of Calculus in practical scenarios.,MCQ,Evaluate,4.67,2.18,-0.11,Medium
Q131,Physics,Thermodynamics,Evaluate the impact of Thermodynamics in Physics.,Short Answer,Understand,6.62,2.24,0.27,Medium
Q132,Physics,Electromagnetism,Analyze the principles of Electromagnetism in Physics.,Long Answer,Analyze,5.4,1.5,0.32,Medium
Q133,Mathematics,Probability,Analyze the principles of Probability in Mathematics.,MCQ,Analyze,6.65,1.09,0.62,Medium
Q134,Physics,Optics,Analyze the principles of Optics in Physics.,Numerical,Remember,6.99,1.54,0.21,Medium
Q135,Physics,Thermodynamics,Analyze the principles of Thermodynamics in Physics.,Short Answer,Remember,7.38,1.3,0.05,Easy
Q136,Chemistry,Biochemistry,Evaluate the impact of Biochemistry in Chemistry.,Short Answer,Understand,6.14,1.99,0.89,Medium
Q137,Mathematics,Algebra,Analyze the principles of Algebra in Mathematics.,Numerical,Apply,6.2,1.11,0.87,Medium
Q138,Mathematics,Algebra,Solve a problem related to Algebra in Mathematics.,Numerical,Analyze,10.0,1.7,0.57,Easy
Q139,Physics,Optics,Solve a problem related to Optics in Physics.,Long Answer,Remember,10.0,1.12,0.44,Easy
Q140,Physics,Mechanics,Solve a problem related to Mechanics in Physics.,Long Answer,Remember,5.78,1.99,0.48,Medium
Q141,Biology,Cell Biology,Evaluate the impact of Cell Biology in Biology.,MCQ,Analyze,4.32,1.2,0.31,Medium
Q142,Physics,Thermodynamics,Analyze the principles of Thermodynamics in Physics.,Short Answer,Understand,8.07,0.59,-0.11,Easy
Q143,Physics,Electromagnetism,Analyze the principles of Electromagnetism in Physics.,MCQ,Evaluate,6.68,2.44,0.14,Medium
Q144,Physics,Mechanics,Explain the concept of Mechanics in Physics.,Numerical,Apply,7.14,1.99,-0.02,Easy
Q145,Biology,Genetics,Analyze the principles of Genetics in Biology.,Long Answer,Analyze,3.36,2.42,0.83,Hard
Q146,Chemistry,Inorganic,Solve a problem related to Inorganic in Chemistry.,MCQ,Remember,5.85,1.36,0.69,Medium
Q147,Physics,Electromagnetism,Analyze the principles of Electromagnetism in Physics.,Long Answer,Understand,2.57,2.18,0.87,Hard
Q148,Physics,Thermodynamics,Evaluate the impact of Thermodynamics in Physics.,Long Answer,Evaluate,6.55,1.64,0.32,Medium
Q149,Biology,Genetics,Apply the theory of Genetics in practical scenarios.,Long Answer,Analyze,2.81,1.2,-0.14,Hard
Q150,Physics,Thermodynamics,Evaluate the impact of Thermodynamics in Physics.,Numerical,Remember,6.52,1.65,0.9,Medium
Q151,Physics,Mechanics,Evaluate the impact of Mechanics in Physics.,Numerical,Understand,6.01,1.52,0.65,Medium
Q152,Mathematics,Probability,Analyze the principles of Probability in Mathematics.,MCQ,Evaluate,5.37,0.7,-0.06,Medium
Q153,Mathematics,Calculus,Apply the theory of Calculus in practical scenarios.,Short Answer,Evaluate,6.24,1.76,0.05,Medium
Q154,Biology,Cell Biology,Analyze the principles of Cell Biology in Biology.,Numerical,Understand,8.12,2.27,0.19,Easy
Q155,Biology,Cell Biology,Explain the concept of Cell Biology in Biology.,Short Answer,Apply,6.66,1.13,0.37,Medium
Q156,Physics,Optics,Explain the concept of Optics in Physics.,Short Answer,Apply,6.23,2.28,0.74,Medium
Q157,Computer Science,Operating Systems,Analyze the principles of Operating Systems in Computer Science.,Numerical,Understand,10.0,2.38,0.76,Easy
Q158,Computer Science,Operating Systems,Analyze the principles of Operating Systems in Computer Science.,Short Answer,Evaluate,3.96,1.37,-0.17,Hard
Q159,Physics,Optics,Solve a problem related to Optics in Physics.,Numerical,Apply,7.29,2.18,0.57,Easy
Q160,Chemistry,Physical,Solve a problem related to Physical in Chemistry.,Numerical,Analyze,5.13,1.33,-0.18,Medium
Q161,Computer Science,Data Structures,Solve a problem related to Data Structures in Computer Science.,Long Answer,Analyze,8.12,0.62,0.23,Easy
Q162,Computer Science,Data Structures,Apply the theory of Data Structures in practical scenarios.,Numerical,Remember,7.77,1.43,0.18,Easy
Q163,Chemistry,Biochemistry,Solve a problem related to Biochemistry in Chemistry.,MCQ,Analyze,9.0,1.54,0.24,Easy
Q164,Physics,Electromagnetism,Evaluate the impact of Electromagnetism in Physics.,MCQ,Analyze,7.96,1.67,0.84,Easy
Q165,Mathematics,Algebra,Analyze the principles of Algebra in Mathematics.,Long Answer,Understand,2.59,1.47,0.31,Hard
Q166,Physics,Optics,Analyze the principles of Optics in Physics.,MCQ,Apply,5.99,1.7,0.16,Medium
Q167,Biology,Genetics,Solve a problem related to Genetics in Biology.,Numerical,Evaluate,3.39,1.83,-0.12,Hard
Q168,Chemistry,Organic,Evaluate the impact of Organic in Chemistry.,Short Answer,Evaluate,3.8,1.74,0.18,Hard
Q169,Chemistry,Inorganic,Solve a problem related to Inorganic in Chemistry.,Long Answer,Evaluate,5.87,1.98,0.53,Medium
Q170,Mathematics,Linear Algebra,Analyze the principles of Linear Algebra in Mathematics.,MCQ,Analyze,5.11,1.26,-0.16,Medium
Q171,Chemistry,Physical,Apply the theory of Physical in practical scenarios.,Short Answer,Apply,4.94,1.1,-0.01,Medium
Q172,Mathematics,Calculus,Analyze the principles of Calculus in Mathematics.,Long Answer,Evaluate,3.13,1.4,0.2,Hard
Q173,Mathematics,Algebra,Apply the theory of Algebra in practical scenarios.,MCQ,Understand,9.93,1.52,-0.16,Easy
Q174,Computer Science,DBMS,Solve a problem related to DBMS in Computer Science.,MCQ,Remember,7.03,2.1,-0.11,Easy
Q175,Mathematics,Linear Algebra,Analyze the principles of Linear Algebra in Mathematics.,Numerical,Remember,5.78,1.39,0.69,Medium
Q176,Computer Science,Data Structures,Solve a problem related to Data Structures in Computer Science.,Short Answer,Analyze,4.53,1.79,0.03,Medium
Q177,Mathematics,Linear Algebra,Analyze the principles of Linear Algebra in Mathematics.,Short Answer,Understand,5.45,0.35,0.48,Medium
Q178,Mathematics,Probability,Explain the concept of Probability in Mathematics.,Numerical,Analyze,4.75,0.4,0.62,Medium
Q179,Computer Science,Operating Systems,Explain the concept of Operating Systems in Computer Science.,MCQ,Remember,7.15,1.66,0.36,Easy
Q180,Computer Science,Operating Systems,Explain the concept of Operating Systems in Computer Science.,Short Answer,Understand,4.06,1.54,0.29,Medium
Q181,Biology,Ecology,Solve a problem related to Ecology in Biology.,MCQ,Analyze,2.79,1.6,0.1,Hard
Q182,Biology,Cell Biology,Evaluate the impact of Cell Biology in Biology.,Short Answer,Evaluate,5.63,1.48,0.15,Medium
Q183,Mathematics,Calculus,Apply the theory of Calculus in practical scenarios.,Long Answer,Understand,4.71,0.96,-0.07,Medium
Q184,Computer Science,Operating Systems,Evaluate the impact of Operating Systems in Computer Science.,MCQ,Apply,6.44,1.96,0.55,Medium
Q185,Chemistry,Physical,Solve a problem related to Physical in Chemistry.,Long Answer,Understand,5.98,2.24,-0.1,Medium
Q186,Chemistry,Organic,Evaluate the impact of Organic in Chemistry.,MCQ,Analyze,10.0,2.01,0.62,Easy
Q187,Mathematics,Probability,Explain the concept of Probability in Mathematics.,Long Answer,Apply,3.93,1.4,0.11,Hard
Q188,Biology,Evolution,Analyze the principles of Evolution in Biology.,Long Answer,Apply,8.79,0.85,0.43,Easy
Q189,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,Long Answer,Evaluate,3.2,1.78,-0.09,Hard
Q190,Biology,Cell Biology,Explain the concept of Cell Biology in Biology.,Short Answer,Understand,5.08,1.19,-0.02,Medium
Q191,Physics,Optics,Solve a problem related to Optics in Physics.,Short Answer,Understand,4.82,1.07,-0.01,Medium
Q192,Physics,Thermodynamics,Analyze the principles of Thermodynamics in Physics.,Short Answer,Remember,0.99,1.84,0.88,Hard
Q193,Chemistry,Organic,Solve a problem related to Organic in Chemistry.,Numerical,Analyze,5.52,1.05,0.87,Medium
Q194,Chemistry,Organic,Explain the concept of Organic in Chemistry.,Long Answer,Apply,6.47,1.64,0.08,Medium
Q195,Chemistry,Organic,Solve a problem related to Organic in Chemistry.,Numerical,Evaluate,7.0,1.01,0.82,Easy
Q196,Computer Science,Algorithms,Apply the theory of Algorithms in practical scenarios.,Numerical,Analyze,10.0,2.31,0.11,Easy
Q197,Biology,Cell Biology,Explain the concept of Cell Biology in Biology.,Numerical,Analyze,4.67,1.79,0.16,Medium
Q198,Mathematics,Linear Algebra,Explain the concept of Linear Algebra in Mathematics.,MCQ,Evaluate,6.56,0.2,0.07,Medium
Q199,Computer Science,Algorithms,Solve a problem related to Algorithms in Computer Science.,Long Answer,Remember,6.52,1.05,0.12,Medium
Q200,Computer Science,Operating Systems,Apply the theory of Operating Systems in practical scenarios.,Long Answer,Understand,3.72,1.63,0.33,Hard
Q201,Biology,Genetics,Solve a problem related to Genetics in Biology.,Numerical,Analyze,4.7,1.52,0.17,Medium
Q202,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,Long Answer,Evaluate,4.8,1.88,0.55,Medium
Q203,Computer Science,Data Structures,Analyze the principles of Data Structures in Computer Science.,Numerical,Understand,7.06,2.22,0.32,Easy
Q204,Computer Science,Algorithms,Solve a problem related to Algorithms in Computer Science.,Long Answer,Apply,2.46,0.98,0.82,Hard
Q205,Biology,Cell Biology,Evaluate the impact of Cell Biology in Biology.,Short Answer,Remember,6.74,1.2,0.83,Medium
Q206,Chemistry,Physical,Solve a problem related to Physical in Chemistry.,Numerical,Understand,6.98,2.29,0.73,Medium
Q207,Physics,Electromagnetism,Solve a problem related to Electromagnetism in Physics.,Long Answer,Analyze,6.68,1.29,0.02,Medium
Q208,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,Short Answer,Apply,5.36,1.34,0.7,Medium
Q209,Computer Science,Algorithms,Evaluate the impact of Algorithms in Computer Science.,Long Answer,Apply,6.58,2.54,0.19,Medium
Q210,Chemistry,Biochemistry,Solve a problem related to Biochemistry in Chemistry.,MCQ,Evaluate,5.46,1.97,0.7,Medium
Q211,Biology,Cell Biology,Analyze the principles of Cell Biology in Biology.,Short Answer,Remember,1.92,1.0,0.31,Hard
Q212,Computer Science,Algorithms,Explain the concept of Algorithms in Computer Science.,Numerical,Analyze,8.1,1.08,0.35,Easy
Q213,Computer Science,Operating Systems,Evaluate the impact of Operating Systems in Computer Science.,Long Answer,Analyze,6.65,1.39,0.22,Medium
Q214,Biology,Evolution,Analyze the principles of Evolution in Biology.,MCQ,Analyze,7.78,1.55,0.49,Easy
Q215,Chemistry,Inorganic,Evaluate the impact of Inorganic in Chemistry.,Long Answer,Analyze,3.04,2.07,-0.05,Hard
Q216,Computer Science,Data Structures,Analyze the principles of Data Structures in Computer Science.,MCQ,Understand,7.02,2.12,0.39,Easy
Q217,Mathematics,Algebra,Evaluate the impact of Algebra in Mathematics.,Short Answer,Evaluate,6.36,1.62,-0.03,Medium
Q218,Biology,Genetics,Solve a problem related to Genetics in Biology.,Short Answer,Evaluate,3.82,1.09,0.62,Hard
Q219,Computer Science,Data Structures,Explain the concept of Data Structures in Computer Science.,MCQ,Remember,6.14,1.26,0.64,Medium
Q220,Physics,Optics,Evaluate the impact of Optics in Physics.,Long Answer,Evaluate,5.3,1.91,0.7,Medium
Q221,Physics,Mechanics,Analyze the principles of Mechanics in Physics.,Numerical,Understand,5.46,1.01,0.68,Medium
Q222,Biology,Cell Biology,Evaluate the impact of Cell Biology in Biology.,MCQ,Evaluate,5.15,1.22,0.59,Medium
Q223,Mathematics,Calculus,Solve a problem related to Calculus in Mathematics.,Short Answer,Understand,7.74,2.18,0.56,Easy
Q224,Computer Science,Operating Systems,Apply the theory of Operating Systems in practical scenarios.,Short Answer,Apply,2.74,1.64,0.18,Hard
Q225,Mathematics,Algebra,Solve a problem related to Algebra in Mathematics.,Short Answer,Understand,2.44,2.25,0.31,Hard
Q226,Physics,Thermodynamics,Evaluate the impact of Thermodynamics in Physics.,Long Answer,Apply,6.36,2.82,0.47,Medium
